id,menu1,price
1,소금구이 333g,12000
2,양념에 반한닭,19900
3,규동,6500
4,훈제연어,1800
5,갑오징어명란불고기,35000
6,싸이버거, 변동
7,빅맥세트, 변동
8,마스카포네 크루아상,4800
9,플레인,3400
10,두레국수,8000
11,키마카레,8500
12,순댓국,9000
13,[키토]우엉김밥,6800
14,미트 앤 번 수프림,9000
15,자장면,6000
16,푸 팟 퐁커리,23000
17,짜장면,6000
18,토마토&바질 에이드,5000
19,마르게리타,12000
20,북창동 순두부,9000
21,곱창전골 1인분,11000
22,양지쌀국수,8500
23,뽀빠이빵,6000
24,샹티 오 프레즈,6800
25,아야커피,5500
26,메이플크림라떼,5500
27,일반순대국,7500
28,돼지고기볶음밥,9000
29,전라도식 가정식 백반,10000
30,해물짬뽕,9000
31,아보홀릭 샌드위치,5400
32,소고기/양고기 마라탕,11000
33,저염수비드 닭가슴살,8000
34,딸불백,9000
1,양념닭갈비 330g,13000
2,간장에 반한닭,19900
3,텐동,7000
4,명란날치알,1700
5,감오징어불고기백반,11000
6,텍사스바베큐치킨버거, 변동
7,불고기버거 세트, 변동
8,레몬크림케이크,7800
9,풀래인 에브리띵,3400
10,비빔국수,8000
11,스파이시 새우 카레,8500
12,"순댓국(특)	 ",13000
13,[키토]참치마요김밥,6800
14,미트 앤 번 클래식 세트,13500
15,짬뽕,7000
16,비프볶음밥,14000
17,게살 볶음밥,9000
18,아메리카노,4100
19,뽈뽀올리오,11000
20,해물 순두부,9500
21,볶음밥,3000
22,양지차돌쌀국수,9000
23,고달단식빵,6000
24,바닐라 밀푀유,6800
25,크로플,6900
26,아메리카노,3800
27,소사골 돈순대국,7800
28,소고기볶음밥,10000
29,유대감 생삼겹살,18000
30,부추짜장면,8500
31,MR.EGG 샌드위치,3600
32,소고기/양고기 마라샹궈,13000
33,리코다 치즈,8000
34,차돌불백,12000
1,마늘닭갈비 330g,13000
2,양념에 반한닭,19900
3,가츠카레,7500
4,묵은지스팸김밥,4800
5,오삼불고기백반,9000
6,딥치즈버거, 변동
7,슈슈버거 세트, 변동
8,우유크림스콘,5300
9,통밀,3400
10,"비빔밥	",8000
11,"돈카츠	",8500
12,"술국	 ",16000
13,아메리카노,3300
14,미트 앤 번 클래식,9000
15,탕수육,22000
16,나시고랭,13000
17,가지덮밥,8000
18,잠봉뵈르,6000
19,블루베리치킨,18900
20,곱창 순두부,10000
21,공기밥 ,1000
22,양지차돌힘줄쌀국수,9500
23,찹쌀홍콩,6000
24,쇼콜라 샹티,5800
25,아메리카노,3500
26,카페라떼,4500
27,소사골 우순대국,7800
28,치킨옐로커리,12000
29,생삼겹살,16000
30,백짬뽕,9000
31,아메리칸 햄치즈 샌드위치,4600
32,마라떡볶이,15000
33,소불고기 포케,10000
34,김치찌개,8000
1,철판닭갈비 200g,11000
2,후레쉬쌈닭,21900
3,우동,4300
4,숯불고기김밥,5000
5,오징어불고기백반,9000
6,언빌리버블버거, 변동
7,베이컨 토마토 디럭스 세트, 변동
8,레몬크림스콘,5300
9,통밀 에브리띵,3400
10,곱창전골,17000
11,냉우동,8000
12,머리고기,28000
13,카페라떼,4800
14,베이컨 치즈 버거,7900
15,"잡채밥	",8000
16,반포식스 쌀국수,10500
17,통낙지해물짬뽕,9000
18,카슬러 샐러드,7800
19,루꼴라,17400
20,햄치즈 순두부,9000
21,,
22,스프링롤,3500
23,소금빵,3500
24,알자스 치즈,6500
25,카페라떼,4500
26,카푸치노,4500
27,우렁얼큰순두부,7500
28,치킨 파냉커리,12000
29,돼지갈비,16000
30,짜장면,7000
31,베이컨 더블 치즈 샌드위치,4600
32,꿔바로우(소),10000
33,훈제오리와 매쉬포테이토,9200
34,고추튀김,6000
